source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank
Source_Tumor_CSC,Target_PBMC_NK,THY1,ITGAX_ITGB2,0.2631755,0.0,0.044876296,0.3204404460654421,0.2511831056908366,0.6179041,0.7146583,0.14845670641884412,0.6967230000598701
Source_Tumor_CSC,Target_PBMC_NK,LAMA5,CD44,0.7341708,0.0,0.1443222,0.38216312993132284,0.7377531872761527,0.7173756,0.81790036,0.052840293692707256,0.6983996021641208
Source_Tumor_CSC,Target_PBMC_NK,IL6,IL6R_IL6ST,0.24769643,0.0,0.05659583,0.37739885462733197,0.28169113547924,0.274522,0.73771584,0.5981545842820348,0.6988133198319205
Source_Tumor_CSC,Target_PBMC_NK,S100A8,CD36,0.36125866,1.0,0.11110068,-0.3618919674558748,-1.8303156616252934,0.06929152,0.79760313,1.0,0.7002623319669415
Source_Tumor_CSC,Target_PBMC_NK,FN1,ITGAV_ITGB1,0.74583733,0.0,0.14367235,0.935312906506749,1.7119907564429055,0.37498778,0.8175641,0.0362091184987709,0.7007783981380507
Source_Tumor_CSC,Target_PBMC_NK,SEMA4A,LILRB2,0.24730223,0.0,0.044354867,0.027895048547802115,0.39592464647095804,0.44059736,0.7134652,0.3314525653098229,0.7009076128766252
Source_Tumor_CSC,Target_PBMC_NK,ICAM1,ITGAX_ITGB2,0.48214877,0.0,0.22852156,0.11375205282599075,0.3217095129211498,0.3687126,0.84966516,0.17592637902101052,0.7055434497152104
Source_Tumor_CSC,Target_PBMC_NK,FN1,DPP4,0.7343963,0.0,0.111907855,0.9475213919352206,1.8606906144516706,0.5560137,0.79818684,0.02803160356694268,0.7065648054352273
Source_Tumor_CSC,Target_PBMC_NK,FBN1,ITGA5,0.24653384,0.0,0.056944035,0.4531013313032592,0.3155780763361735,0.5449505,0.7383088,0.08835156140575992,0.7072157941259134
Source_Tumor_CSC,Target_PBMC_NK,AGRN,LRP1,0.2671591,0.0,0.04362129,0.27797158332138017,0.41793692341836186,0.70683813,0.7117575,0.052840293692707256,0.7072157941259134
Source_Tumor_CSC,Target_PBMC_NK,ICAM1,ITGAL_ITGB2,0.48017102,0.0,0.22636597,0.13323355578067297,0.7670392092258222,0.54763186,0.8490589,0.06517298200468409,0.7103185457418697
Source_Tumor_CSC,Target_PBMC_NK,COL6A2,CD44,0.73359805,0.0,0.14276156,-0.002389758878007228,0.516692662157114,0.2998298,0.8170893,0.7198420119965834,0.7103185457418697
Source_Tumor_CSC,Target_PBMC_NK,FBN1,ITGB1,0.39838853,0.0,0.11301099,0.4557953327017778,0.383334968689503,0.54955393,0.79897577,0.052840293692707256,0.715026496233762
Source_Tumor_CSC,Target_PBMC_NK,ANXA1,DYSF,0.4743881,1.0,0.11350266,-0.32336894443206654,-0.1958417830962183,0.24310811,0.79932415,1.0,0.71928255829625
