source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,VEGFA,ITGA9,0.27361196,1.0,0.07474063,0.1708040827858559,0.16247818089319754,0.07664018,0.77312684,1.0,0.5115849242062792
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,LAMA5,CD44,0.837985,0.0,0.1663166,0.5071527723696237,0.5239138518328743,0.26917407,0.8356191,0.02072009880313421,0.5125795301619874
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,CD14,ITGA4,0.27324417,1.0,0.07437017,-0.3783178653704404,-0.7247350977550688,0.025483876,0.7726907,1.0,0.5135349515617225
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,F13A1,ITGA9,0.27269584,1.0,0.0742596,0.14328028290248368,0.02763145767844144,0.08294324,0.77256006,1.0,0.5154900937612859
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,COL6A2,ITGA3_ITGB1,0.095305264,1.0,0.0089932075,-0.06837904328952366,-0.31849877684732497,0.061220136,0.54172146,1.0,0.5179729582704097
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,MDK,NCL,0.60508996,0.0,0.1648196,0.2676816860949874,0.39661276512819826,0.16943234,0.8349972,0.02072009880313421,0.5224289034221424
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,COL6A2,CD44,0.83741224,0.0,0.1645181,0.2662959337295186,0.29215530023605984,0.14175202,0.834871,0.025773818259666233,0.5244067649983283
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,LGALS9,CD47,0.26982766,1.0,0.0725714,-0.22046459478373087,-0.09473716268433752,0.037927743,0.7705334,1.0,0.5257364648222204
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,F13A1,ITGA4,0.26950744,1.0,0.07245584,-0.308513055055784,-0.38194129865566095,0.030642891,0.7703925,1.0,0.5281201612022304
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,JAG1,CD46,0.26931953,0.066,0.053259466,0.09812856821117397,0.24105305710679292,0.11679754,0.7420456,0.4149897315225419,0.5293147065674673
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,S100A8,CD68,0.29238006,1.0,0.08052559,-0.31804106809436233,-0.6526652001279843,0.03725541,0.77959836,1.0,0.531309672400932
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,LAMA5,ITGA3_ITGB1,0.09587801,0.898,0.00909152,0.17247779535058147,-0.08674022525051048,0.11625141,0.54307073,0.619220819052537,0.5313451061698902
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,ST6GAL1,CD22,0.26886362,0.0,0.07176031,0.8535536912703452,0.5290831457895797,0.25356436,0.7695382,0.02072009880313421,0.5333094749772512
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,TGFB1,LPP,0.3485501,1.0,0.08079015,-0.4421938070249649,-0.649055930542026,0.014040267,0.77988005,1.0,0.5341109008139681
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,ICAM1,ITGAM_ITGB2,0.34670413,1.0,0.08089642,-0.4018397576765176,-0.6469463591925091,0.012641594,0.7799929,1.0,0.5371231851303105
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,ICAM1,ITGAX_ITGB2,0.34670413,1.0,0.08089642,-0.4018397576765176,-0.6469463591925091,0.012641594,0.7799929,1.0,0.5371231851303105
